Country;Happiness value;Happiness value rounded;Religion importantance;Smoking;Distance to equator;Ratio nuclear family;Oneperson household;Traffic deaths;Suicide rate
Afghanistan;2,66171813;3;97;;34,53;;;15,1;4,7
Albania;4,639548302;5;39;28,70;41,32;;;13,6;6,3
Algeria;5,248912334;5;95;15,60;36,77;;;23,6;3,2
Argentina;6,039330006;6;65;21,80;34,6;0,77;0,18;14;9,2
Armenia;4,287736416;4;73;24,10;40,18;;;17,1;6,6
Australia;7,25703764;7;32;14,70;35,3;0,67;0,24;5,6;13,2
Austria;7,293727875;7;55;29,60;48,2;0,61;0,35;5,2;15,6
Azerbaijan;5,152279377;5;50;20,80;40,38;0,56;0,07;8,7;2,6
Bahrain;6,227320671;6;94;26,40;26,22;;;;5,9
Bangladesh;4,309771061;4;100;23,00;23,73;;;15,3;5,9
Belarus;5,552915096;6;34;26,70;53,9;0,65;0,28;8,9;26,2
Belgium;6,928347588;7;33;28,20;50,85;0,63;0,34;5,8;20,7
Benin;4,853180885;5;93;6,40;6,48;;;27,5;9,9
Bolivia;5,65055275;6;89;;16,5;0,70;0,20;15,5;12,2
Bosnia and Herzegovina;5,089902401;5;77;38,90;43,87;;;15,7;8,8
Botswana;3,504881144;4;77;20,00;24,65;;;23,8;9,3
Brazil;6,332929134;6;87;13,90;15,78;0,79;0,11;19,7;6,5
Bulgaria;5,096901894;5;34;37,00;42,7;0,64;0,27;10,2;11,5
Burkina Faso;4,646891117;5;88;12,50;12,35;0,53;0,05;30,5;7,7
Cambodia;4,585842133;5;96;17,20;11,55;;;17,8;5,3
Cameroon;5,07405138;5;96;;3,87;;;30,1;12,2
Canada;7,414868355;7;42;14,30;45,42;0,67;0,27;5,8;12,5
Central African Republic;3,475862026;3;94;;4,37;;;33,6;7,7
Chad;4,558937073;5;95;;12,1;;;27,6;8,8
Chile;6,320119381;6;70;37,80;33,45;;;12,5;10,6
China;5,099061489;5;;25,60;39,9;0,66;0,17;18,2;9,7
Colombia;6,157341957;6;83;9,00;4,58;0,56;0,11;18,5;7,2
Congo (Brazzaville);4,883991241;5;;26,90;4,27;;;27,4;5,7
Congo (Kinshasa);4,311033249;4;94;;4,32;;;33,7;5,9
Costa Rica;7,22518158;7;79;11,90;9,93;0,88;0,11;16,7;7,9
Croatia;5,343165874;5;70;37,00;45,82;0,69;0,23;8,1;16,5
Cyprus;6,062051296;6;75;36,40;35,17;0,72;0,21;5,1;5,3
Czech Republic;6,789567947;7;21;34,30;50,08;;;5,9;13,1
Denmark;7,593702316;8;19;19,10;55,67;;;4;12,8
Dominican Republic;5,605202675;6;87;13,70;18,47;0,84;0,13;34,6;9,9
Ecuador;5,839518547;6;82;7,10;0,25;;;21,3;7,1
Egypt;3,929344177;4;97;25,20;30,05;;;9,7;4
El Salvador;6,339318275;6;83;9,90;13,68;;;22,2;13,7
Estonia;5,938395977;6;16;31,30;59,43;0,62;0,34;6,1;17,8
Ethiopia;4,180315495;4;100;4,40;9,02;;;26,7;7,2
Finland;7,788251877;8;28;20,40;60,17;0,56;0,41;4,7;15,9
France;6,635222435;7;30;32,70;48,85;0,62;0,35;5,5;17,7
Gabon;4,782382965;5;;;0,38;;;23,2;7,1
Gambia;4,117938995;4;;15,50;13,45;;;29,7;5,1
Georgia;4,45077467;4;81;28,80;42,25;0,64;0,17;15,3;8,2
Germany;7,074324608;7;40;30,60;52,52;0,59;0,37;4,1;13,6
Ghana;5,481310844;5;95;3,90;5,55;0,82;0,18;24,9;5,4
Greece;5,14824152;5;71;43,40;37,97;0,74;0,20;9,2;5
Guatemala;6,325118542;6;88;;14,6;;;16,6;2,7
Guinea;4,873722553;5;97;;9,52;;;28,2;6,3
Haiti;3,823865652;4;75;12,70;18,53;;;;11,7
Honduras;6,019985676;6;84;2,00;14,1;;;16,7;2,9
Hong Kong S.A.R. of China;5,362474918;5;24;;;;;;
Hungary;6,065038681;6;39;30,60;47,47;0,66;0,29;7,8;19,1
Iceland;7,476213932;7;;14,70;64,13;;;6,6;14
India;4,046111107;4;90;11,50;28,6;;;22,6;16,3
Indonesia;5,098401546;5;99;39,40;6,2;;;12,2;3,4
Iran;4,716783047;5;73;11,00;35,68;;;20,5;4,1
Iraq;4,462399006;4;84;;33,33;;;20,7;3
Ireland;7,060155392;7;54;24,30;53,33;0,70;0,23;4,1;11,5
Israel;7,331036091;7;51;25,20;31,78;0,72;0,21;4,2;5,4
Italy;6,198870182;6;72;23,70;41,9;0,68;0,28;5,6;8,2
Ivory Coast;5,037734985;5;88;;6,82;;;23,6;14,5
Jamaica;5,889759064;6;70;16,80;17,98;0,65;0,28;13,6;2,2
Japan;5,910676479;6;24;22,10;35,68;0,57;0,31;4,1;18,5
Jordan;4,808082581;5;96;;31,93;;;24,4;2,9
Kazakhstan;5,882351398;6;43;24,00;51,17;;;17,6;22,5
Kenya;4,475654125;4;94;10,70;1,28;;;27,8;3,2
Kosovo;6,149199963;6;90;;42,67;;;;
Kuwait;6,093905449;6;91;22,50;29,37;;;17,6;2,3
Kyrgyzstan;5,629536629;6;72;26,50;42,87;;;15,4;8,3
Laos;4,623140812;5;97;28,90;17,97;;;16,6;8,6
Latvia;5,977817535;6;39;37,00;56,93;0,62;0,30;9,3;21,2
Lebanon;5,153989792;5;87;33,80;33,88;;;18,1;3,3
Lesotho;3,795300722;4;;26,70;29,3;;;28,9;21,2
Liberia;4,424490929;4;94;9,80;6,3;;;35,9;6,8
Libya;5,646852493;6;;;32,9;;;26,1;5,2
Lithuania;6,272940636;6;42;28,80;54,68;0,64;0,30;8;31,9
Luxembourg;7,061380863;7;39;23,50;49,6;0,58;0,33;6,3;13,5
Macedonia;5,233866692;5;76;;42;;;6,4;7,9
Madagascar;4,078620434;4;93;;18,93;;;28,6;3,9
Malawi;3,416862965;3;99;14,50;13,98;;;31;3,7
Mali;4,741850376;5;95;12,30;12,65;;;23,1;4,8
Malta;6,675665855;7;86;25,50;35,88;0,27;0,19;6,1;7,5
Mauritania;4,678159714;5;98;;18,1;;;24,7;4,4
Mauritius;6,174117565;6;;21,60;20,15;0,74;0,10;13,7;7,8
Mexico;6,410299301;6;73;14,00;19,43;0,89;0,08;13,1;5,1
Moldova;5,325530529;5;72;24,20;47;0,68;0,22;9,7;15,9
Mongolia;5,333850384;5;;25,60;47,92;;;16,5;13
Montenegro;5,614798546;6;71;45,90;42,43;0,75;0,18;10,7;10,3
Morocco;5,312482834;5;97;23,40;34,03;;;19,6;2,9
Mozambique;4,279863358;4;86;16,60;25,97;;;30,1;4,9
Myanmar;4,154341698;4;97;20,30;19,75;;;19,9;7,8
Namibia;4,441306114;4;92;21,40;22,57;;;30,4;8,7
Nepal;4,736692429;5;93;22,80;27,7;;;15,9;8,8
Netherlands;7,458965302;7;33;25,80;52,37;;;3,8;12,6
New Zealand;7,32718277;7;33;16,00;41,28;0,67;0,23;7,8;12,1
Nicaragua;6,476356506;6;84;;12,13;;;;12,2
Niger;4,615673542;5;100;7,70;13,52;;;26,2;4,6
Nigeria;5,321928024;5;96;5,80;9,07;;;21,4;9,5
Norway;7,578744888;8;21;20,20;59,95;0,60;0,39;2,7;12,2
Pakistan;5,830870628;6;92;20,10;33,72;;;14,3;2,9
Palestinian Territories;4,62813282;5;93;;;0,77;0,03;;
Panama;6,567658901;7;88;6,10;8,98;;;14,3;4,3
Paraguay;5,71329546;6;92;13,40;25,27;;;22,7;9,5
Peru;5,710936546;6;84;4,80;12,03;;;13,5;4,9
Philippines;5,594270229;6;96;24,30;14,58;;;12,3;3,2
Poland;6,201268196;6;75;28,00;52,23;0,68;0,24;9,7;16,2
Portugal;5,711499214;6;72;22,70;38,7;0,76;0,19;7,4;14
Romania;6,089904785;6;84;29,70;44,42;0,33;0,13;10,3;10,4
Russia;5,578742981;6;34;39,30;55,75;0,69;0,22;18;31
Rwanda;3,10837388;3;95;12,30;1,93;;;29,7;6,7
Saudi Arabia;6,294282436;6;93;15,60;24,63;;;28,8;3,2
Senegal;4,683024883;5;96;8,20;14,68;;;23,4;6
Serbia;5,122031212;5;54;38,90;44,82;0,68;0,21;7,4;15,6
Sierra Leone;4,089562416;4;;24,80;8,48;;;;9,7
Singapore;6,378437996;6;70;16,50;1,28;0,79;0,10;2,8;9,9
Slovakia;6,365509033;6;47;30,10;48,13;0,64;0,25;6,1;12,8
Slovenia;6,166837692;6;47;22,50;46,05;0,66;0,28;6,4;18,6
South Africa;4,513655186;5;85;20,30;33,92;0,37;0,28;25,9;11,6
South Korea;5,873887062;6;43;23,30;37,55;0,64;0,22;9,8;26,9
South Sudan;2,816622496;3;;;4,85;;;29,9;3,7
Spain;6,230173111;6;49;29,30;40,38;0,73;0,20;4,1;8,7
Sri Lanka;4,330945492;4;99;13,00;6,9;;;14,9;14,6
Sweden;7,286804676;7;17;18,80;59,32;;;2,8;14,8
Switzerland;7,473593235;7;41;25,70;46,95;0,62;0,36;2,7;17,2
Taiwan Province of China;6,359450817;6;45;;25,03;;;26,5;
Tajikistan;5,829234123;6;85;;38,53;;;18,1;2,5
Tanzania;3,347121239;3;89;14,80;6,17;;;29,2;5,4
Thailand;5,938895226;6;97;19,90;13,75;0,47;0,18;32,7;14,4
Togo;4,360805035;4;80;7,40;6,12;;;29,2;9,6
Trinidad and Tobago;6,191859722;6;92;;10,67;;;12,1;13,6
Tunisia;4,124342918;4;93;32,70;36,8;;;22,8;3,4
Turkey;5,607262135;6;82;27,20;39,87;;;12,3;7,3
Turkmenistan;5,229148865;5;80;;37,93;;;14,5;6,7
Uganda;4,000516891;4;93;10,00;0,3;;;29;9,9
Ukraine;4,311067104;4;46;28,90;50,45;;;13,7;22,4
United Arab Emirates;7,039419651;7;91;28,90;24,47;;;18,1;2,8
United Kingdom;7,103273392;7;27;22,30;51,5;0,61;0,31;3,1;8,9
United States;6,9917593;7;69;21,80;38,88;;;12,4;15,3
Uruguay;6,336009979;6;41;16,80;34,88;0,59;0,23;13,4;18,4
Uzbekistan;6,421447754;6;59;12,60;41,27;;;11,5;7,4
Venezuela;5,070750713;5;79;;10,5;;;33,7;3,7
Vietnam;5,175278664;5;30;22,80;21,03;;;26,4;7,3
Yemen;3,253560066;3;99;18,40;15,33;;;;8,5
Zambia;3,932777405;4;95;13,80;15,42;;;;6,1
Zimbabwe;3,63830018;4;88;15,80;17,85;;;34,7;10,7