Country;Patience (time preference) (Falk et al, (2018) GPS)
Afghanistan;-0,20
Albania;
Algeria;0,06
Argentina;-0,23
Armenia;
Australia;0,66
Austria;0,61
Azerbaijan;
Bahrain;
Bangladesh;0,08
Belarus;
Belgium;
Benin;
Bolivia;0,07
Bosnia and Herzegovina;-0,25
Botswana;0,23
Brazil;-0,26
Bulgaria;
Burkina Faso;
Cambodia;-0,12
Cameroon;-0,43
Canada;0,72
Central African Republic;
Chad;
Chile;-0,16
China;0,40
Colombia;-0,35
Congo (Brazzaville);
Congo (Kinshasa);
Costa Rica;-0,16
Croatia;-0,09
Cyprus;
Czech Republic;0,38
Denmark;
Dominican Republic;
Ecuador;
Egypt;-0,38
El Salvador;
Estonia;0,03
Ethiopia;
Finland;0,60
France;0,36
Gabon;
Gambia;
Georgia;-0,49
Germany;0,62
Ghana;0,08
Greece;-0,36
Guatemala;-0,26
Guinea;
Haiti;-0,38
Honduras;
Hong Kong S.A.R. of China;
Hungary;-0,43
Iceland;
India;-0,11
Indonesia;-0,36
Iran;-0,38
Iraq;-0,42
Ireland;
Israel;0,46
Italy;0,11
Ivory Coast;
Jamaica;
Japan;0,11
Jordan;-0,42
Kazakhstan;-0,26
Kenya;-0,08
Kosovo;
Kuwait;
Kyrgyzstan;
Laos;
Latvia;
Lebanon;
Lesotho;
Liberia;
Libya;
Lithuania;-0,06
Luxembourg;
Macedonia;
Madagascar;
Malawi;-0,05
Mali;
Malta;
Mauritania;
Mauritius;
Mexico;-0,11
Moldova;0,20
Mongolia;
Montenegro;
Morocco;-0,31
Mozambique;
Myanmar;
Namibia;
Nepal;
Netherlands;0,95
New Zealand;
Nicaragua;-0,61
Niger;
Nigeria;-0,20
Norway;
Pakistan;-0,08
Palestinian Territories;
Panama;
Paraguay;
Peru;-0,11
Philippines;0,10
Poland;0,07
Portugal;-0,31
Romania;-0,27
Russia;-0,08
Rwanda;-0,61
Saudi Arabia;0,20
Senegal;
Serbia;-0,14
Sierra Leone;
Singapore;
Slovakia;
Slovenia;
South Africa;0,06
South Korea;0,37
South Sudan;
Spain;0,20
Sri Lanka;-0,10
Sweden;1,07
Switzerland;0,67
Taiwan Province of China;
Tajikistan;
Tanzania;-0,32
Thailand;-0,23
Togo;
Trinidad and Tobago;
Tunisia;
Turkey;-0,05
Turkmenistan;
Uganda;-0,26
Ukraine;-0,18
United Arab Emirates;-0,09
United Kingdom;0,54
United States;0,81
Uruguay;
Uzbekistan;
Venezuela;-0,23
Vietnam;0,11
Yemen;
Zambia;
Zimbabwe;-0,24