Country;Total Taxes (% GDP)
Afghanistan;9,12
Albania;23,53
Algeria;14,16
Argentina;30,66
Armenia;21,76
Australia;28,58
Austria;41,88
Azerbaijan;16,51
Bahrain;1,07
Bangladesh;8,19
Belarus;35,75
Belgium;43,88
Benin;15,89
Bolivia;26,20
Bosnia and Herzegovina;37,57
Botswana;20,87
Brazil;33,71
Bulgaria;28,80
Burkina Faso;16,65
Cambodia;14,83
Cameroon;13,38
Canada;32,83
Central African Republic;9,65
Chad;5,67
Chile;17,41
China;23,79
Colombia;19,21
Congo (Brazzaville);17,50
Congo (Kinshasa);7,11
Costa Rica;13,85
Croatia;35,16
Cyprus;24,00
Czech Republic;34,07
Denmark;45,44
Dominican Republic;13,51
Ecuador;14,67
Egypt;
El Salvador;17,38
Estonia;33,73
Ethiopia;
Finland;44,02
France;45,28
Gabon;20,49
Gambia;11,14
Georgia;25,82
Germany;37,43
Ghana;12,38
Greece;38,34
Guatemala;10,78
Guinea;14,03
Haiti;13,73
Honduras;22,42
Hong Kong S.A.R. of China;13,57
Hungary;39,15
Iceland;36,79
India;17,58
Indonesia;10,36
Iran;7,97
Iraq;1,38
Ireland;23,36
Israel;31,13
Italy;42,39
Ivory Coast;16,02
Jamaica;25,11
Japan;30,78
Jordan;15,34
Kazakhstan;15,23
Kenya;15,80
Kosovo;23,46
Kuwait;1,51
Kyrgyzstan;25,10
Laos;12,43
Latvia;30,23
Lebanon;13,69
Lesotho;26,54
Liberia;
Libya;1,19
Lithuania;29,68
Luxembourg;37,93
Macedonia;25,29
Madagascar;11,00
Malawi;15,32
Mali;14,92
Malta;31,89
Mauritania;16,52
Mauritius;18,21
Mexico;13,70
Moldova;26,43
Mongolia;20,36
Montenegro;36,09
Morocco;21,45
Mozambique;20,16
Myanmar;8,33
Namibia;28,71
Nepal;18,69
Netherlands;38,40
New Zealand;32,61
Nicaragua;23,45
Niger;13,45
Nigeria;7,17
Norway;38,71
Pakistan;9,99
Palestinian Territories;5,59
Panama;15,46
Paraguay;10,49
Peru;13,61
Philippines;13,68
Poland;33,35
Portugal;34,14
Romania;26,44
Russia;29,05
Rwanda;15,46
Saudi Arabia;2,23
Senegal;15,92
Serbia;35,08
Sierra Leone;11,18
Singapore;13,42
Slovakia;32,36
Slovenia;36,51
South Africa;29,31
South Korea;26,24
South Sudan;
Spain;33,18
Sri Lanka;12,44
Sweden;44,24
Switzerland;27,70
Taiwan Province of China;
Tajikistan;20,60
Tanzania;11,39
Thailand;17,83
Togo;18,76
Trinidad and Tobago;26,15
Tunisia;29,61
Turkey;25,30
Turkmenistan;20,37
Uganda;12,68
Ukraine;30,86
United Arab Emirates;9,24
United Kingdom;32,73
United States;25,77
Uruguay;34,23
Uzbekistan;26,20
Venezuela;20,28
Vietnam;17,94
Yemen;7,04
Zambia;12,97
Zimbabwe;27,18